NOM_RBD,NOM_DEPE,ALUMNOS_NO_VULNERABLES,ALUMNOS_VULNERABLES,MAT_NO_VULNERABLES,MAT_VULNERABLES,DIFERENCIA_VULNERABLES,DIFERENCIA_NO_VULNERABLES,DIFERENCIA_TOTAL,ALUMNOS_TOTAL,MAT_TOTAL
COLEGIO INNOV-ARTE,Particular Subvencionado,413,184,563,33,151,-150,1,597,596
ESCUELA PART. APRENDIENDO A VIVIR,Particular Subvencionado,77,90,1,165,-75,76,1,167,166
COLEGIO PUMAHUE,Particular Pagado,316,20,29,306,-286,287,1,336,335
LICEO HUMANISTA CIENTIFICO BRAINSTORM,Particular Subvencionado,235,129,6,357,-228,229,1,364,363
LICEO PARTICULAR JAN COMENIUS,Particular Subvencionado,52,44,1,95,-51,51,0,96,96
GEORGE CHAYTOR ENGLISH COLLEGE,Particular Pagado,442,18,132,328,-310,310,0,460,460
COLEGIO CONGREGACIÃN OLIVOS,Particular Subvencionado,24,37,0,60,-23,24,1,61,60
LICEO BICENTENARIO DE TEMUCO,Municipal DAEM,67,52,117,1,51,-50,1,119,118
COLEGIO FOR LIFE,Particular Subvencionado,167,118,3,281,-163,164,1,285,284
COLEGIO NEWHARVEST,Particular Subvencionado,205,327,2,530,-203,203,0,532,532
COLEGIO SAINT PATRICK SCHOOL,Particular Subvencionado,420,67,416,70,-3,4,1,487,486
ESCUELA PART. TEMUCO COLLEGE,Particular Subvencionado,138,28,164,1,27,-26,1,166,165
COLEGIO HEBREO,Particular Subvencionado,88,52,136,3,49,-48,1,140,139
COLEGIO PARTICULAR EXCELSIOR,Particular Subvencionado,1,6,7,0,6,-6,0,7,7
